Species,Formula,Inchi
C2H6+,C2H6+,InChI=1S/C2H6/c1-2/h1-2H3/q+1
C3H3NH+,C3H4N+,"InChI=1S/C3H4N/c1-2-3-4/h2,4H,1H2/q+1"
C2H3CHO,C3H4O,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2"
C3H5,C3H5,"InChI=1S/C3H5/c1-3-2/h3H,1-2H2"
C3H5+,C3H5+,"InChI=1S/C3H5/c1-3-2/h3H,1-2H2/q+1"
C4H2CN,C4H2CN,InChI=1S/C5H2N/c1-2-3-4-5-6/h1-2H
C4H4,C4H4,"InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2"
C4H4+,C4H4+,"InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2/q+1"
HC5NH+,C5H2N+,InChI=1S/C5HN/c1-2-3-4-5-6/h1H
C5H3,C5H3,"InChI=1S/C5H3/c1-3-5-4-2/h1H,2H2"
C5H3+,C5H3+,"InChI=1S/C5H3/c1-3-5-4-2/h1H,2H2/q+1"
C6H2,C6H2,InChI=1S/C6H2/c1-3-5-6-4-2/h1-2H
C6H2+,C6H2+,InChI=1S/C6H2/c1-3-5-6-4-2/h1-2H/q+1
C7H,C7H,InChI=1S/C7H/c1-3-5-7-6-4-2/h1H
C7H-,C7H-,InChI=1S/C7H/c1-3-5-7-6-4-2/h1H/q-1
C7H+,C7H+,InChI=1S/C7H/c1-3-5-7-6-4-2/h1H/Q+1
C7N,C7N,InChI=1S/C7N/c1-2-3-4-5-6-7-8
C7N+,C7N+,InChI=1S/C7N/c1-2-3-4-5-6-7-8/q+1
C7O,C7O,
C8,C8,InChI=1S/C8/c1-3-5-7-8-6-4-2
C8-,C8-,InChI=1S/C8/c1-3-5-7-8-6-4-2/q-1
C8+,C8+,InChI=1S/C8/c1-3-5-7-8-6-4-2/q+1
CH3C3N,CH3C3N,InChI=1S/C4H3N/c1-2-3-4-5/h1H3
CH3CHSH+,CH3CHSH+,"InChI=1S/C2H5S/c1-2-3/h2-3H,1H3/q+1"
CH3COCN,CH3COCN,InChI=1S/C3H3NO/c1-3(5)2-4/h1H3
CH3OCH2,CH3OCH2,"InChI=1S/C2H5O/c1-3-2/h1H2,2H3"
CH3NH3+,CH6N+,"InChI=1S/CH5N/c1-2/h2H2,1H3/p+1"
COOCH4+,COOCH4+,"InChI=1S/C2H4O2/c1-2(3)4/h3H,1H3/q+1"
CH3CH2OH,C2H5OH,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3"
C2H5OH+,C2H5OH+,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3/q+1"
C2H7+,C2H7+,
C3H5N+,C3H5N+,
CH3CHCH2,C3H6,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3"
C3H6+,C3H6+,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3/q+1"
C4H3CN,C4H3CN,
