name,smiles,source,detected_in_ism,molecular_charge,net_formal_charge,Exact_MW,Heavy_Atom_Count,Num_H_Donors,Num_H_Acceptors,Num_Rotatable_Bonds,Num_Aromatic_Rings,has_oxygen
H2CSH+,C[S+],KIDA,TRUE,positive,1,46.994997516089995,2,0,0,0,0,FALSE
H2COH+,[CH2+]O,KIDA,TRUE,positive,1,31.01784114,2,1,1,0,0,TRUE
HCCNC,[C-]#[N+]C#C,KIDA,TRUE,neutral,0,51.01089903,4,0,0,0,0,FALSE
HC3N,C#CC#N,KIDA,TRUE,neutral,0,51.01089903,4,0,1,0,0,FALSE
HC3O,C#C[C]=O,KIDA,TRUE,neutral,0,53.00273965,4,0,1,0,0,TRUE
HC3O+,C#CC#[O+],KIDA,TRUE,positive,1,53.00219107,4,0,0,0,0,TRUE
HC3S+,C#CC#[S+],KIDA,TRUE,positive,1,68.97934745,4,0,0,0,0,FALSE
HCNCC,[C-]#C[N+]#C,KIDA,TRUE,neutral,0,51.01089903,4,0,0,0,0,FALSE
HCOCN,N#CC=O,KIDA,TRUE,neutral,0,55.00581365,4,0,2,0,0,TRUE
HNCCC,[C-]#C[C+]=N,KIDA,TRUE,neutral,0,51.01089903,4,1,1,0,0,FALSE
HOCHN,N=CO,KIDA,TRUE,neutral,0,45.02146372,3,2,1,0,0,TRUE
H2C3O+,C=C=C=[O+],KIDA,TRUE,positive,1,54.0100161,4,0,1,0,0,TRUE
l-C3H3+,C#C[CH2+],KIDA,TRUE,positive,1,39.022926516089996,3,0,0,0,0,FALSE
HC2NCH+,C#C[N+]#C,KIDA,TRUE,positive,1,52.018175484089994,4,0,0,0,0,FALSE
HC4N,C#C[C+]=C=[N-],KIDA,TRUE,neutral,0,63.01089903,5,0,0,0,0,FALSE
HC4N+,C#C[C+]=C=[N],KIDA,TRUE,positive,1,63.010350452089995,5,0,0,0,0,FALSE
HC4O+,C#C[C+]=C=O,KIDA,TRUE,positive,1,65.00219107,5,0,1,0,0,TRUE
HC4S+,C#C[C+]=C=S,KIDA,TRUE,positive,1,80.97934745,5,0,1,0,0,FALSE
H2C4N+,C=C=[C+]C#N,KIDA,TRUE,positive,1,64.01817548,5,0,1,0,0,FALSE
C2H3CO+,C=[C+]C=O,KIDA,TRUE,positive,1,55.01784114,4,0,1,1,0,TRUE
H3C4N+,C[C+]=[C]C#N,KIDA,TRUE,positive,1,65.02600052,5,0,1,0,0,FALSE
HC6N,C#CC#C[C+]=C=[N-],KIDA,TRUE,neutral,0,87.01089903,7,0,0,0,0,FALSE
HC6N+,C#CC#C[C+]=C=[N],KIDA,TRUE,positive,1,87.01035045,7,0,0,0,0,FALSE
HCOOCH3,COC=O,KIDA,TRUE,neutral,0,60.021129368000004,4,0,2,1,0,TRUE
H5C2O2+,COC=[O+],KIDA,TRUE,positive,1,60.02058079,4,0,2,1,0,TRUE
H5C3O+,[CH+]=CCO,KIDA,TRUE,positive,1,57.0334912,4,1,1,1,0,TRUE
HC7N,C#CC#CC#CC#N,KIDA,TRUE,neutral,0,99.01089903,8,0,1,0,0,FALSE
HC8N,C#CC#CC#C[C+]=C=[N-],KIDA,TRUE,neutral,0,111.010899,9,0,0,0,0,FALSE
HC8N+,C#CC#CC#C[C+]=C=[N],KIDA,TRUE,positive,1,111.0103505,9,0,0,0,0,FALSE
HC9N,C#CC#CC#CC#CC#N,KIDA,TRUE,neutral,0,123.010899,10,0,1,0,0,FALSE
HC10N+,C#CC#CC#CC#C[C+]=C=[N],KIDA,TRUE,positive,1,135.0103505,11,0,0,0,0,FALSE
ND,[2H][N],KIDA,TRUE,neutral,0,16.01717578,1,0,0,0,0,FALSE
NH,[NH],KIDA,TRUE,neutral,0,15.01089903,1,0,0,0,0,FALSE
NH+,[NH+],KIDA,TRUE,positive,1,15.01035045,1,0,0,0,0,FALSE
N2H,[N]=N,KIDA,TRUE,neutral,0,29.01397303,2,1,1,0,0,FALSE
NH2,[NH2],KIDA,TRUE,neutral,0,16.01872406,1,0,0,0,0,FALSE
NH2+,[NH2+],KIDA,TRUE,positive,1,16.01817548,1,0,0,0,0,FALSE
NHD,[2H][NH],KIDA,TRUE,neutral,0,17.025000809999998,1,0,0,0,0,FALSE
N2H2,N=N,KIDA,TRUE,neutral,0,30.02179806,2,2,2,0,0,FALSE
NH3,N,KIDA,TRUE,neutral,0,17.0265491,1,1,1,0,0,FALSE
NH3+,[NH3+],KIDA,TRUE,positive,1,17.02600052,1,1,1,0,0,FALSE
NH2CN,N#CN,KIDA,TRUE,neutral,0,42.021798063999995,3,1,2,0,0,FALSE
NH4+,[NH4+],KIDA,TRUE,positive,1,18.03382555,1,1,0,0,0,FALSE
N2H4,NN,KIDA,TRUE,neutral,0,32.03744813,2,2,2,0,0,FALSE
NH2CDO,[2H]C(=N)O,KIDA,TRUE,neutral,0,46.02774046,3,2,1,0,0,TRUE
NH2CNH+,N#C[NH3+],KIDA,TRUE,positive,1,43.02907451608999,3,1,1,0,0,FALSE
NH2CHS,N=CS,KIDA,TRUE,neutral,0,60.998620095999996,3,2,1,0,0,FALSE
trans-NHDCHO,[2H]N=CO,KIDA,TRUE,neutral,0,46.02774046,3,2,1,0,0,TRUE
NH2CH2O,NCO,KIDA,TRUE,neutral,0,47.03711378,3,2,2,0,0,TRUE
NH2CH2O+,[NH2+]=CO,KIDA,TRUE,positive,1,46.028740168089996,3,2,0,0,0,TRUE
NH2CH2SH,NCS,KIDA,TRUE,neutral,0,63.014270159999995,3,2,2,0,0,FALSE
OH,[OH],KIDA,TRUE,neutral,0,17.00273965,1,1,0,0,0,TRUE
OH-,[OH-],KIDA,TRUE,negative,-1,17.00328823,1,0,1,0,0,TRUE
OH+,[OH+],KIDA,TRUE,positive,1,17.00219107,1,0,0,0,0,TRUE
O2H,[O]O,KIDA,TRUE,neutral,0,32.99765427,2,1,1,0,0,TRUE
HO2+,[O+]O,KIDA,TRUE,positive,1,32.99710569,2,1,1,0,0,TRUE
PC2H+,[CH+]=C=[P],KIDA,TRUE,positive,1,55.981038082089995,3,0,0,0,0,FALSE
PCH2+,[CH2+][P],KIDA,TRUE,positive,1,44.988863114089995,2,0,0,0,0,FALSE
PNH2+,N[P],KIDA,TRUE,neutral,0,46.992485693999996,2,1,1,0,0,FALSE
PC2H2+,[CH2+]C#P,KIDA,TRUE,positive,1,56.988863114089995,3,0,0,0,0,FALSE
PC3H+,[CH+]=[C]C#P,KIDA,TRUE,positive,1,67.98103808,4,0,0,0,0,FALSE
PCH3+,C[P],KIDA,TRUE,neutral,0,45.99723673,2,0,0,0,0,FALSE
PNH3+,[NH3+][P],KIDA,TRUE,positive,1,47.99976215,2,1,0,0,0,FALSE
PC2H3+,[CH2+]C=[P],KIDA,TRUE,positive,1,57.996688146089994,3,0,0,0,0,FALSE
PC4H+,C#C[C+]=C=[P],KIDA,TRUE,positive,1,79.98103808,5,0,0,0,0,FALSE
PCH4+,C[PH],KIDA,TRUE,neutral,0,47.00506176,2,0,0,0,0,FALSE
PC2H4+,C[CH+][P],KIDA,TRUE,positive,1,59.004513178089994,3,0,0,0,0,FALSE
PC4H2+,C=C=[C+]C#P,KIDA,TRUE,positive,1,80.98886311,5,0,0,0,0,FALSE
CH3S,C[S-],KIDA,TRUE,negative,-1,46.99609468,2,0,1,0,0,FALSE
C2H5N+,CC=[NH+],KIDA,TRUE,positive,1,43.04165058008999,3,1,1,0,0,FALSE
C3H5N+,CC=[NH+]C,KIDA,TRUE,positive,1,58.06512567608999,4,1,0,0,0,FALSE
C5H4,C=C=C=C=C,KIDA,TRUE,neutral,0,64.03130013,5,0,0,0,0,FALSE
C6N2H+,N#CC#CC#C[NH+],KIDA,TRUE,positive,1,89.01342445208999,7,0,1,0,0,FALSE
C3H5NH+,CC[NH3+],KIDA,TRUE,positive,1,46.06512567608999,3,1,0,0,0,FALSE
C4H5N+,C#CC[NH2+]C,KIDA,TRUE,positive,1,70.06512567608999,5,1,0,1,0,FALSE
C6H4,C#CC#CC=C,KIDA,TRUE,neutral,0,76.03130013,6,0,0,0,0,FALSE
C7H3,[C]#CC#CC#CC,KIDA,TRUE,neutral,0,87.0234751,7,0,0,0,0,FALSE
C4H5NH+,CCC[NH3+],KIDA,TRUE,positive,1,60.08077574,4,1,0,1,0,FALSE
C5H5N+,c1cc[nH+]cc1,KIDA,TRUE,positive,1,80.04947561208999,6,0,0,0,1,FALSE
C5H7,CC=CC=C,KIDA,TRUE,neutral,0,68.06260026,5,0,0,1,0,FALSE
C5H7+,C=CC[CH+]C,KIDA,TRUE,positive,1,69.06987670808999,5,0,0,2,0,FALSE
C8H4,C#CC#CC#CC=C,KIDA,TRUE,neutral,0,100.0313001,8,0,0,0,0,FALSE
C9H3,[C]#CC#CC#CC#CC,KIDA,TRUE,neutral,0,111.0234751,9,0,0,0,0,FALSE
C6H7,C1=CC=CCC1,KIDA,TRUE,neutral,0,80.06260026,6,0,0,0,0,FALSE
HCOCHO,O=CC=O,KIDA,TRUE,neutral,0,58.005479304000005,4,0,2,1,0,TRUE
c-C3H2OH+,OC1=[C+][CH]1,KIDA,TRUE,positive,1,54.0100161,4,1,1,0,0,TRUE
HC5O+,C#CC#CC=[O+],KIDA,TRUE,positive,1,78.0100161,6,0,1,0,0,TRUE
HC7O+,C#CC#CC#CC=[O+],KIDA,TRUE,positive,1,102.0100161,8,0,1,0,0,TRUE
HC9O+,C#CC#CC#CC#CC=[O+],KIDA,TRUE,positive,1,126.0100161,10,0,1,0,0,TRUE
