name,smiles,source,detected_in_ism,molecular_charge,net_formal_charge,Exact_MW,Heavy_Atom_Count,Num_H_Donors,Num_H_Acceptors,Num_Rotatable_Bonds,Num_Aromatic_Rings,has_oxygen
CH3OH2+,C[OH2+],KIDA,TRUE,positive,1,33.0334912,2,0,0,0,0,TRUE
C2H3NH2,C=CN,KIDA,TRUE,neutral,0,43.042199159999996,3,1,1,0,0,FALSE
CH3NCOH+,CN[C+]=O,KIDA,TRUE,positive,1,58.028740168089996,4,1,1,1,0,TRUE
CH3CHOH+,CC[O+],KIDA,TRUE,positive,1,45.0334912,3,0,0,0,0,TRUE
C2H6,CC,KIDA,TRUE,neutral,0,30.04695019,2,0,0,0,0,FALSE
C3H3NH+,C=C[C+]=N,KIDA,TRUE,positive,1,54.03382554808999,4,1,1,1,0,FALSE
C2H3CHO,C=CC=O,KIDA,TRUE,neutral,0,56.02621475,4,0,1,1,0,TRUE
C3H5,[CH2]C=C,KIDA,TRUE,neutral,0,41.03912516,3,0,0,0,0,FALSE
C3H5+,C=C[CH2+],KIDA,TRUE,positive,1,41.038576580089995,3,0,0,0,0,FALSE
C4H2CN,[CH]=CC#CC#N,KIDA,TRUE,neutral,0,76.01872406,6,0,1,0,0,FALSE
C4H4,C#CC=C,KIDA,TRUE,neutral,0,52.03130013,4,0,0,0,0,FALSE
C4H4+,[CH+]=[C]C=C,KIDA,TRUE,positive,1,52.030751548089995,4,0,0,1,0,FALSE
HC5NH+,C#CC#CC#N,KIDA,TRUE,neutral,0,75.01089903,6,0,1,0,0,FALSE
C5H3,C#C[C]=C=C,KIDA,TRUE,neutral,0,63.0234751,5,0,0,0,0,FALSE
C5H3+,C#C[C+]=C=C,KIDA,TRUE,positive,1,63.022926516089996,5,0,0,0,0,FALSE
C6H2,C#CC#CC#C,KIDA,TRUE,neutral,0,74.01565006,6,0,0,0,0,FALSE
C6H2+,C#CC#C[C]=[CH+],KIDA,TRUE,positive,1,74.01510148,6,0,0,0,0,FALSE
C7H,[C+]#C[C]=C=C=C=[CH-],KIDA,TRUE,neutral,0,85.00782503,7,0,0,0,0,FALSE
C7H-,[C-]#C[C-]=C=C=C=[CH+],KIDA,TRUE,negative,-1,85.00837361,7,0,0,0,0,FALSE
C7H+,[C+]#C[C-]=C=C=C=[CH+],KIDA,TRUE,positive,1,85.00727645,7,0,0,0,0,FALSE
CH3C3N,CC#CC#N,KIDA,TRUE,neutral,0,65.0265491,5,0,1,0,0,FALSE
CH3CHSH+,C[CH+]S,KIDA,TRUE,positive,1,61.010647580089994,3,1,1,0,0,FALSE
CH3COCN,CC(=O)C#N,KIDA,TRUE,neutral,0,69.02146372,5,0,2,0,0,TRUE
CH3OCH2,[CH2]OC,KIDA,TRUE,neutral,0,45.03403978,3,0,1,0,0,TRUE
CH3NH3+,C[NH3+],KIDA,TRUE,positive,1,32.04947561,2,1,0,0,0,FALSE
COOCH4+,CC(=[O+])O,KIDA,TRUE,positive,1,60.02058079,4,1,1,0,0,TRUE
CH3CH2OH,CCO,KIDA,TRUE,neutral,0,46.04186481,3,1,1,0,0,TRUE
CH3CHCH2,C=CC,KIDA,TRUE,neutral,0,42.04695019,3,0,0,0,0,FALSE
C3H6+,[CH2+][CH]C,KIDA,TRUE,positive,1,42.046401612089994,3,0,0,0,0,FALSE
H3C4NH+,CC#CC#[NH+],KIDA,TRUE,positive,1,66.03382555,5,1,0,0,0,FALSE
C4H5,C#C[CH]C,KIDA,TRUE,neutral,0,53.03912516,4,0,0,0,0,FALSE
C4H5+,C=C=[C+]C,KIDA,TRUE,positive,1,53.038576580089995,4,0,0,0,0,FALSE
C5H3N+,CC#C[C+]=C=[N],KIDA,TRUE,positive,1,77.02600052,6,0,0,0,0,FALSE
C5H4+,C=C=C=[C][CH2+],KIDA,TRUE,positive,1,64.03075155,5,0,0,0,0,FALSE
C6H3+,C#C[C+]=C=C=C,KIDA,TRUE,positive,1,75.02292652,6,0,0,0,0,FALSE
C7H2,[C+]#CC#CC#C[CH2-],KIDA,TRUE,neutral,0,86.01565006,7,0,0,0,0,FALSE
C7H2+,[C+]#C[C]=C=C=C=C,KIDA,TRUE,positive,1,86.01510148,7,0,0,0,0,FALSE
HC7N+,[CH+]=[C]C#CC#CC#N,KIDA,TRUE,positive,1,99.01035045,8,0,1,0,0,FALSE
C8H,[C]#CC#CC#CC#C,KIDA,TRUE,neutral,0,97.00782503,8,0,0,0,0,FALSE
C8H-,[C-]#CC#CC#CC#C,KIDA,TRUE,negative,-1,97.00837361,8,0,0,0,0,FALSE
C8H+,[C+]#CC#CC#CC#C,KIDA,TRUE,positive,1,97.00727645,8,0,0,0,0,FALSE
CH3C4H,C#CC#CC,KIDA,TRUE,neutral,0,64.03130013,5,0,0,0,0,FALSE
CH3OCH3,COC,KIDA,TRUE,neutral,0,46.04186481,3,0,1,0,0,TRUE
CH3OCH3+,C[O+]C,KIDA,TRUE,positive,1,46.04131623,3,0,1,0,0,TRUE
C2H5OH2+,CC[OH2+],KIDA,TRUE,positive,1,47.04914126,3,0,0,0,0,TRUE
CH3COCH3,CC(C)=O,KIDA,TRUE,neutral,0,58.04186481,4,0,1,0,0,TRUE
C2H6CO+,CC(C)=[O+],KIDA,TRUE,positive,1,58.04131623,4,0,1,0,0,TRUE
C3H5CN,C=CCC#N,KIDA,TRUE,neutral,0,67.04219916,5,0,1,1,0,FALSE
C2H5CHO,CCC=O,KIDA,TRUE,neutral,0,58.04186481,4,0,1,1,0,TRUE
C3H7,[CH2]CC,KIDA,TRUE,neutral,0,43.05477522,3,0,0,0,0,FALSE
C3H7+,[CH2+]CC,KIDA,TRUE,positive,1,43.054226644089994,3,0,0,0,0,FALSE
CH2CHCHCH2,C=CC=C,KIDA,TRUE,neutral,0,54.04695019,4,0,0,1,0,FALSE
C4H6+,C=C[CH][CH2+],KIDA,TRUE,positive,1,54.046401612089994,4,0,0,1,0,FALSE
C5H4N+,CC#C[CH+]C#N,KIDA,TRUE,positive,1,78.03382555,6,0,1,0,0,FALSE
C5H5,C#C[CH]C=C,KIDA,TRUE,neutral,0,65.03912516,5,0,0,1,0,FALSE
C5H5+,[CH+]=[C]C#CC,KIDA,TRUE,positive,1,64.03075155,5,0,0,0,0,FALSE
C6H4+,C=C=C=C=[C][CH2+],KIDA,TRUE,positive,1,76.03075155,6,0,0,0,0,FALSE
C7H2N+,C#CC#CC#CC#[NH+],KIDA,TRUE,positive,1,100.0181755,8,1,0,0,0,FALSE
C7H3+,C#CC#C[C+]=C=C,KIDA,TRUE,positive,1,87.02292652,7,0,0,0,0,FALSE
C8H2,C#CC#CC#CC#C,KIDA,TRUE,neutral,0,98.01565006,8,0,0,0,0,FALSE
C8H2+,C#CC#CC#C[C]=[CH+],KIDA,TRUE,positive,1,98.01510148,8,0,0,0,0,FALSE
