name,smiles,source,detected_in_ism,molecular_charge,net_formal_charge,Exact_MW,Heavy_Atom_Count,Num_H_Donors,Num_H_Acceptors,Num_Rotatable_Bonds,Num_Aromatic_Rings,has_oxygen,BDE_min_kJmol,BDE_mean_kJmol,BDE_bond_type_of_min,BDE_weak_bond_count,BDE_source,spin_tax_correction_kJmol,oxygen_radical_flag,ZPE_scaling_factor,radical_stability_score,BDE_min_bond_length_A,tunneling_p_10K,tunneling_p_20K,tunneling_p_50K,gamow_factor,crossover_T,effective_barrier_kJmol,barrier_width_angstrom,particle_mass_amu,crossover_T_independent,log_tunneling_10K_independent,log_tunneling_20K_independent,log_tunneling_50K_independent,log_gamow_factor_independent,BDE_est_from_length_kJmol,effective_barrier_independent_kJmol,log_tunneling_10K,log_tunneling_20K,log_tunneling_50K,log_gamow_factor,bde_literature_kjmol
H2CCN,C=C=[N],KIDA,True,neutral,0,40.01872406,3,0,0,0,0,False,394.1,394.1,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,5.815178722237161e-247,2.330086181099051e-44,384.7482078059461,504.84461467207393,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-246.23543693323327,-43.63262801576214,394.1
CH2CN+,[CH2+]C#N,KIDA,True,positive,1,40.01817548,3,0,1,0,0,False,543.1922724450551,543.1922724529323,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0809052149865734,0.0,0.0,3.872739085759339e-264,5.5023369168012006e-46,399.0933883861068,543.1922724450551,1.0,1.008,686.9653561832204,-35.30404264023476,-34.33707822509454,-33.968920640820606,-44.38761546713597,447.1810491634885,447.1810491634885,-300.0,-300.0,-263.4119817613232,-45.25945282059341,
H2CCO,C=C=O,KIDA,True,neutral,0,42.01056468,3,0,1,0,0,True,360.2,360.2,C-H,2,literature,0.0,False,1.0,2.0,,0.0,0.0,2.8953865020340887e-244,4.2449637512501074e-44,382.45112686248734,498.8344131618067,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-243.5382934545629,-43.372126013947536,360.2
H2CCO+,C=C=[O+],KIDA,True,positive,1,42.0100161,3,0,1,0,0,True,570.7557052277647,570.7557052277647,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0815294923279384,0.0,0.0,9.083670970168073e-292,4.040606105324679e-47,409.093776115859,570.7557052277647,1.0,1.008,686.9653561832204,-35.30044902142561,-34.33361094702808,-33.96552632029215,-44.411038850063875,447.13649238567234,447.13649238567234,-300.0,-300.0,-291.0417386047567,-46.393553484281874,
C2H3,[CH]=C,KIDA,True,neutral,0,27.0234751,2,0,0,0,0,False,418.4,418.3999999999999,C-H,0,literature,0.0,False,1.0,2.0,,2.317579506734419e-36,2.958695057506591e-36,3.4921407281767816e-36,2.2272094809397188e-23,199.74520739944123,136.06839199787768,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-35.634965358049165,-35.52889979376696,-35.45690826317978,-22.65223893333074,418.4
C2H3+,[CH+]=C,KIDA,True,positive,1,27.02292652,2,0,0,0,0,False,418.4,418.3999999999999,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,4.892208373504726e-285,1.534182793670714e-46,403.9844143389501,556.5878704521192,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-284.3104950533659,-45.814122892308156,418.4
C2N2H+,N#C[C+]=N,KIDA,True,positive,1,53.01342445208999,4,1,2,0,0,False,607.4013213938357,607.4013213938357,N-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0271123999398373,0.0,0.0,2e-323,1.3811972930411542e-48,422.0225018694331,607.4013213938357,1.0,1.008,778.5607370076495,-31.920806094286142,-30.929624100093832,-30.54769130195029,-42.57948748133345,455.72190001504066,455.72190001504066,-300.0,-300.0,-300.0,-47.85974428147987,
t-C3H2,[CH+]=C=[CH-],KIDA,True,neutral,0,38.01565006,3,0,0,0,0,False,543.0,543.0,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,4.352904061629932e-188,4.335375258261779e-41,355.916715245539,432.0174470106172,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-187.36122090462388,-40.362973305214545,543.0
c-C3H2,C1=CC=1,KIDA,True,neutral,0,38.01565006,3,0,0,0,0,False,497.0,497.0,C-H,0,literature,0.0,False,1.0,3.0,,0.0,0.0,1.683548676294339e-283,2.0850262720231836e-46,402.8095663376383,553.3552936753422,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-282.7737743223763,-45.68088846840111,497.0
c-C3H2+,[c]1c[cH+]1,KIDA,True,positive,1,38.01510148409,3,0,0,0,1,False,508.21503158248834,508.31897979562746,C-H,0,xtb_corrected,-15.4,False,1.0,1.0,1.0823413951375556,0.0,0.0,1.789262088589216e-248,1.6671141897437776e-44,386.03038917394025,508.21503158248834,1.0,1.008,686.9653561832204,-35.29577535319047,-34.32910159102345,-33.96111184681289,-44.44149810351328,447.07854414584466,447.07854414584466,-300.0,-300.0,-247.7473260399294,-43.778034651955345,
HC3N+,[CH+]=[C]C#N,KIDA,True,positive,1,51.010350452089995,4,0,1,0,0,False,551.0,551.0,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,5.609698025128323e-296,1.7680040066037948e-47,412.2590788127098,579.6221504569772,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-295.2510527747779,-46.75251675513519,551.0
C4H,[C]#CC#C,KIDA,True,neutral,0,49.00782503,4,0,0,0,0,False,529.5792624015701,529.5792624015701,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0654818151580394,0.0,0.0,4.778411306333073e-258,2.0477269551852412e-45,394.06079282633584,529.5792624015701,1.0,1.008,686.9653561832204,-35.39282797559846,-34.42274218477488,-34.052781630773,-43.80807163247372,448.2818691897719,448.2818691897719,-300.0,-300.0,-257.3207164706634,-44.68872795285338,
C4H-,[C-]#CC#C,KIDA,True,negative,-1,49.00837361,4,0,0,0,0,False,514.224057816569,514.224057816569,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0654818151580394,0.0,0.0,3.6162632014518484e-251,9.202690446652719e-45,388.3058533183587,514.224057816569,1.0,1.008,686.9653561832204,-35.39282797559846,-34.42274218477488,-34.052781630773,-43.80807163247372,448.2818691897719,448.2818691897719,-300.0,-300.0,-250.44173996791508,-44.0360851862068,
C4H+,[C+]#CC#C,KIDA,True,positive,1,49.00727645,4,0,0,0,0,False,644.0278700840703,644.0278700840703,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0654816346254112,0.0,0.0,0.0,5.228722165309574e-50,434.560324376138,644.0278700840703,1.0,1.008,686.9653561832204,-35.39282901485612,-34.4227431874965,-34.05278261238527,-43.80806483934152,448.281882074994,448.281882074994,-300.0,-300.0,-300.0,-49.28160443433761,
CH2NH+,[CH2+][NH],KIDA,True,positive,1,29.02600052,2,0,0,0,0,False,202.44213764843929,288.24975349573634,C-H,2,xtb_corrected,-15.4,False,1.0,1.0,1.0872673001150972,2.23948478216004e-44,4.225830252209967e-44,5.00276428164552e-44,2.3435146450995004e-28,243.6397800942224,202.44213764843929,1.0,1.008,686.9653561832204,-35.267419842780924,-34.30174298119805,-33.934328844649144,-44.62620114037369,446.7269657061277,446.7269657061277,-43.64985188434516,-43.374087952150994,-43.30078995955759,-27.63013232814077,
HCOOH,O=CO,KIDA,True,neutral,0,46.0054793,3,1,1,0,0,True,484.2441413094021,535.622070654701,O-H,0,xtb_corrected,-15.4,True,1.0,0.0,0.9802180996200652,0.0,2.033793337518927e-221,3.5602655728099414e-114,1.2839442718273222e-35,307.6693964530345,322.8294275396014,1.0,1.008,824.3584274198644,-21.286059959928114,-20.668422728530768,-20.493199699937183,-34.261647275401735,485.95638007598694,323.970920050658,-300.0,-220.69169317969994,-113.44851760525631,-34.89145382592691,587.0
