name,BDE_min_kJmol,BDE_mean_kJmol,BDE_bond_type_of_min,BDE_weak_bond_count,BDE_source,spin_tax_correction_kJmol,oxygen_radical_flag,ZPE_scaling_factor,radical_stability_score,BDE_min_bond_length_A
HC2NCH+,663.2029037179956,666.2979566564312,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.064496623947468
HC4N,427.0,427.0,C-H,0,literature,0.0,False,1.0,2.0,
HC4N+,460.0,460.0,C-H,0,literature,0.0,False,1.0,2.0,
HC4O+,614.8911414426598,614.8911414426598,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.06544488686415
HC4S+,599.0796648258789,599.0796648258789,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0653281550369122
H2C4N+,479.58845227287196,479.58845227287196,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.084361205041816
C2H3CO+,458.5313381059416,557.300923996101,C-H,0,xtb_corrected,-15.4,True,1.0,4.0,1.1011592851871979
H3C4N+,339.29563366525446,339.29563367225643,C-H,3,xtb_corrected,-15.4,False,1.0,0.0,1.094156917146359
HC6N,484.0049150699337,484.0049150699337,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0649972075361283
HC6N+,555.9468116345581,555.9468116345581,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0649972075361283
HCOOCH3,487.21284084867096,493.4528988971458,C-H,0,xtb_corrected,-15.4,True,1.0,5.0,1.1010626811634316
H5C2O2+,90.2679731873349,217.96329580165653,C-H,4,xtb_corrected,-15.4,True,1.0,5.0,1.1010626811634316
H5C3O+,321.6140697600791,367.9523244730998,C-H,4,xtb_corrected,-15.4,False,1.0,3.0,1.085902160849269
HC7N,569.02,569.02,C-H,0,literature,0.0,False,1.0,2.0,
HC8N,489.764130503054,489.764130503054,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0649868832022764
HC8N+,547.0833727761362,547.0833727761362,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0649868832022764
HC9N,574.89,574.89,C-H,0,literature,0.0,False,1.0,2.0,
HC10N+,542.1905419160823,542.1905419160823,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0649832140724536
ND,331.8,331.8,N-H,1,literature,0.0,False,1.0,0.0,
NH,331.8,331.8,N-H,1,literature,0.0,False,1.0,0.0,
NH+,331.8,331.8,N-H,1,literature,0.0,False,1.0,0.0,
N2H,376.56,376.56,N-H,1,literature,0.0,False,1.0,3.0,
NH2,416.304,416.304,N-H,0,literature,0.0,False,1.0,0.0,
NH2+,443.0,443.0,N-H,0,literature,0.0,False,1.0,0.0,
NHD,397.0,397.0,N-H,0,literature,0.0,False,1.0,0.0,
N2H2,349.0,349.0,N-H,2,literature,0.0,False,1.0,3.0,
NH3,435.0,435.0,N-H,0,literature,0.0,False,1.0,0.0,
NH3+,443.93,443.93,N-H,0,literature,0.0,False,1.0,0.0,
NH2CN,418.0,418.0,N-H,0,literature,0.0,False,1.0,0.0,
NH4+,444.0,444.0,N-H,0,literature,0.0,False,1.0,0.0,
N2H4,391.0,391.0,N-H,0,literature,0.0,False,1.0,1.0,
NH2CDO,395.0,449.7642070703323,N-H,0,literature,0.0,False,1.0,2.0,
NH2CNH+,409.0,409.0,N-H,0,literature,0.0,False,1.0,0.0,
NH2CHS,390.0,424.35612365063844,N-H,0,literature,0.0,False,1.0,2.0,
trans-NHDCHO,467.30434577566416,488.2871977197282,O-H,0,xtb_corrected,-15.4,True,1.0,0.0,0.972729858956054
NH2CH2O,463.7830898574804,486.3476147622385,C-H,0,xtb_corrected,-15.4,True,1.0,3.0,1.0935457065393548
NH2CH2O+,542.0378254368953,570.1756142300328,C-H,0,xtb_corrected,-15.4,True,1.0,5.0,1.0948436773349581
NH2CH2SH,428.45476109363733,455.02860069254893,C-H,0,xtb_corrected,-15.4,False,1.0,3.0,1.0939223839490142
OH,497.8968,497.8968,O-H,0,literature,0.0,True,1.0,0.0,
OH-,560.2229669580919,560.2229669580919,O-H,0,xtb_corrected,-15.4,True,1.0,0.0,0.9778077529315133
OH+,897.0915624733219,897.0915624733219,O-H,0,xtb_corrected,-15.4,True,1.0,0.0,0.9778077529315133
O2H,362.7528,362.7528,O-H,1,literature,0.0,True,1.0,1.0,
HO2+,463.8876822081635,463.8876822081635,O-H,0,xtb_corrected,-15.4,True,1.0,1.0,0.9813415830996787
PC2H+,553.6936487522795,553.6936487522795,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.07645087208256
PCH2+,506.5780156395592,506.5780156395592,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0848183577749713
PNH2+,289.7321516703954,289.7321516703954,N-H,2,xtb_corrected,-15.4,False,1.0,0.0,1.0456149629832618
PC2H2+,418.4648421081758,418.4648421081758,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0854054157666595
PC3H+,613.0671071334731,613.0671071334731,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0595770858023044
PCH3+,291.06027570834925,291.06027570834925,C-H,3,xtb_corrected,-15.4,False,1.0,0.0,1.1041714023789366
PNH3+,197.6057918662807,197.6057918662807,N-H,3,xtb_corrected,-15.4,False,1.0,0.0,1.0534413690772875
PC2H3+,249.89097183194676,395.84208723188226,C-H,1,xtb_corrected,-15.4,False,1.0,3.0,1.0827243256866308
PC4H+,546.7915299439774,546.7915299439774,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0590600474989158
PCH4+,292.99110215390175,292.99110215390175,C-H,3,xtb_corrected,-15.4,False,1.0,0.0,1.0934879501534944
PC2H4+,397.9412116484616,415.87815344509283,C-H,0,xtb_corrected,-15.4,False,1.0,1.0,1.0680471351173324
PC4H2+,408.2346539007451,408.2346539007451,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0762861268483577
CH3S,397.48,397.48,C-H,0,literature,0.0,False,1.0,1.0,
C2H5N+,133.18411719382902,334.3945272922209,C-H,2,xtb_corrected,-15.4,False,1.0,4.0,1.102876748327841
C3H5N+,449.4305140716533,464.76128605788347,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0914102425046877
C5H4,408.5618828595704,408.56188469479486,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0836945881241469
C6N2H+,479.4218257712859,479.4218257712859,N-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.026093180113757
C3H5NH+,471.35564747159106,508.1400841691034,N-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0286230675204322
C4H5N+,422.5933379149496,503.7969950472806,N-H,0,xtb_corrected,-15.4,False,1.0,1.0,1.0283640174261375
C6H4,449.8341555010931,540.889659594194,C-H,0,xtb_corrected,-15.4,False,1.0,3.0,1.0859700123176426
C7H3,340.698678745417,340.69867902897136,C-H,3,xtb_corrected,-15.4,False,1.0,0.0,1.0941586649226946
C4H5NH+,458.7440257047756,476.42928724836685,N-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0287693107577145
C5H5N+,496.70814718738234,555.8436455346737,N-H,0,xtb_corrected,-15.4,False,1.0,3.0,1.0210346073971477
C5H7,427.9952512663724,487.8963282473756,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0942670320108812
C5H7+,381.27904677930667,468.45760326750616,C-H,0,xtb_corrected,-15.4,False,1.0,1.0,1.0958138710831142
C8H4,434.2516916662344,534.5150476959482,C-H,0,xtb_corrected,-15.4,False,1.0,3.0,1.0860123457875106
C9H3,342.28804495093146,342.2880449526851,C-H,3,xtb_corrected,-15.4,False,1.0,0.0,1.0941601684401177
C6H7,321.7,321.7,C-H,8,literature,0.0,False,1.0,3.0,
HCOCHO,373.30243654569455,373.30244407825444,C-H,2,xtb_corrected,-15.4,True,1.0,4.0,1.1006362733314163
c-C3H2OH+,64.96590544080226,231.12605811960344,O-H,1,xtb_corrected,-15.4,True,1.0,0.0,0.9731289250009852
HC5O+,130.33790501416902,373.64863743447637,C-H,1,xtb_corrected,-15.4,True,1.0,4.0,1.101266644041109
HC7O+,139.86790257798302,378.28844843682083,C-H,1,xtb_corrected,-15.4,True,1.0,4.0,1.1012728862909236
HC9O+,150.28740073796334,379.90946641534924,C-H,1,xtb_corrected,-15.4,True,1.0,4.0,1.1012740025669676
