name,BDE_min_kJmol,BDE_mean_kJmol,BDE_bond_type_of_min,BDE_weak_bond_count,BDE_source,spin_tax_correction_kJmol,oxygen_radical_flag,ZPE_scaling_factor,radical_stability_score,BDE_min_bond_length_A
C6H+,680.8339936275333,680.8339936275333,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0652240465015836
CH3CHS,392.43929035553185,412.1142468215298,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0930317144585535
CH3SH2+,397.0,397.0,C-H,0,literature,0.0,False,1.0,1.0,
CH3NH2,388.0,435.55250693406504,C-H,0,literature,0.0,False,1.0,1.0,
CH3OH2+,397.0,438.53681820785596,C-H,0,literature,0.0,True,1.0,1.0,
C2H3NH2,392.0,419.2746505799153,C-H,0,literature,0.0,False,1.0,2.0,
CH3NCOH+,460.4801940910393,496.1227750049437,N-H,0,xtb_corrected,-15.4,False,1.0,1.0,1.0132907452970177
CH3CHOH+,381.53643825729085,423.16596398185845,C-H,0,xtb_corrected,-15.4,True,1.0,2.0,1.1012270662314176
C2H6,423.0,423.0,C-H,0,literature,0.0,False,1.0,0.0,
C3H3NH+,460.14657788932374,559.9481477688961,C-H,0,xtb_corrected,-15.4,False,1.0,3.0,1.0850564197247192
C2H3CHO,402.9213287656746,493.8053821387783,C-H,0,xtb_corrected,-15.4,True,1.0,4.0,1.1025752669425721
C3H5,422.584,422.584,C-H,0,literature,0.0,False,1.0,0.0,
C3H5+,367.53868885894485,367.54020525795084,C-H,5,xtb_corrected,-15.4,False,1.0,2.0,1.0854101145073365
C4H2CN,132.94822358814642,261.3830846245063,C-H,1,xtb_corrected,-15.4,False,1.0,3.0,1.0841177039748398
C4H4,381.5808,381.5808,C-H,0,literature,0.0,False,1.0,2.0,
C4H4+,264.0752584159208,342.6268403524469,C-H,3,xtb_corrected,-15.4,False,1.0,3.0,1.0858581811198773
HC5NH+,610.7048135032207,610.7048135032207,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0652324268420104
C5H3,443.37307212628707,458.57084998970623,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0838022200448356
C5H3+,460.2956333004255,523.2065371618102,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.083802120244516
C6H2,530.5312,530.5312,C-H,0,literature,0.0,False,1.0,2.0,
C6H2+,625.7408124946074,625.7410483275189,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0649323128285553
C7H,457.3279484748996,457.3279484748996,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0652615822159262
C7H-,390.40677916402257,390.40677916402257,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.065261909842005
C7H+,651.840677588603,651.840677588603,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0652618701564214
CH3C3N,453.5889428179725,453.5889428188478,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0941568520092368
CH3CHSH+,425.3236676397083,445.96485229155945,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0940333145430245
CH3COCN,491.98380410101436,491.98380410364007,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.093801665588662
CH3OCH2,292.6383349644487,317.8795048775326,C-H,5,xtb_corrected,-15.4,True,1.0,1.0,1.0938643251583142
CH3NH3+,495.6796950598007,524.1583564141829,N-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.028514642892826
COOCH4+,146.17547719483994,223.15726576514157,O-H,4,xtb_corrected,-15.4,True,1.0,0.0,0.9801988898055747
CH3CH2OH,395.8064,416.451189779242,C-H,0,literature,0.0,False,1.0,0.0,
CH3CHCH2,454.87968366892625,500.77436027360613,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0942468574031132
C3H6+,244.40802754537205,281.14982376321444,C-H,6,xtb_corrected,-15.4,False,1.0,1.0,1.0848289218664413
H3C4NH+,453.88686525792133,485.5576798704526,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0941648205112149
C4H5,224.5547487353691,321.04373111908967,C-H,3,xtb_corrected,-15.4,False,1.0,0.0,1.0940574235034404
C4H5+,400.1556286409748,432.8568622691666,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0941547223144916
C5H3N+,272.7036720764209,272.7036720772962,C-H,3,xtb_corrected,-15.4,False,1.0,0.0,1.0941608324587768
C5H4+,353.9007374003637,353.90271224238955,C-H,4,xtb_corrected,-15.4,False,1.0,0.0,1.0829291662179128
C6H3+,434.3903369120762,504.89528179337077,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0838243840638657
C7H2,385.7789570952239,385.7789570952239,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.083221586213565
C7H2+,335.125417944099,335.125417944099,C-H,2,xtb_corrected,-15.4,False,1.0,2.0,1.0840110629739075
HC7N+,627.2317426323498,627.2317426323498,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0650744455096715
C8H,554.5361098612563,554.5361098612563,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0650728767824507
C8H-,493.48010231504725,493.48010231504725,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0650728767824507
C8H+,633.5004584419331,633.5004584419331,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0650728795077091
CH3C4H,447.67515085704997,487.12253737412664,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0941632241888184
CH3OCH3,496.9399359734779,496.93996526618076,C-H,0,xtb_corrected,-15.4,True,1.0,1.0,1.0943144681047472
CH3OCH3+,225.92298715507798,225.92328421990132,C-H,6,xtb_corrected,-15.4,True,1.0,1.0,1.094314469616523
C2H5OH2+,449.93131114139965,505.14684008410757,O-H,0,xtb_corrected,-15.4,True,1.0,0.0,0.9915192460170257
CH3COCH3,497.2745995370258,497.2745995427149,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0935218824861157
C2H6CO+,170.8162974177023,170.8200790605663,C-H,6,xtb_corrected,-15.4,False,1.0,0.0,1.0935218824861157
C3H5CN,411.8493618107882,491.1915769387398,C-H,0,xtb_corrected,-15.4,False,1.0,1.0,1.095809193769184
C2H5CHO,358.5888,358.5888,C-H,6,literature,0.0,False,1.0,0.0,
C3H7,135.5872923401766,232.95601912934737,C-H,5,xtb_corrected,-15.4,False,1.0,0.0,1.0953548203222203
C3H7+,450.40535846193734,527.9423439265781,C-H,0,xtb_corrected,-15.4,False,1.0,1.0,1.0953195223049337
CH2CHCHCH2,477.47660549457635,528.503650951087,C-H,0,xtb_corrected,-15.4,False,1.0,3.0,1.0880712133943722
C4H6+,270.7182880506774,306.8853097660758,C-H,6,xtb_corrected,-15.4,False,1.0,1.0,1.0884724948487008
C5H4N+,400.672522869141,410.2132030332217,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0941491823894705
C5H5,285.4305368313514,393.73128775765736,C-H,3,xtb_corrected,-15.4,False,1.0,3.0,1.0882050923781694
C5H5+,326.69032585574337,398.8892164226008,C-H,3,xtb_corrected,-15.4,False,1.0,0.0,1.0941631462928856
C6H4+,325.98207374039316,325.98211377532937,C-H,4,xtb_corrected,-15.4,False,1.0,2.0,1.0837748592419163
C7H2N+,521.1841554311002,578.6849410969046,N-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.018798022008564
C7H3+,430.0735392371111,497.01848413518184,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0838529166535642
C8H2,591.013853563214,591.0209653220139,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0649592882832053
