Classical-Only (A),Classical + BDE (A+B),Classical + Independent Physics (A+C),Full (A+B+C),name,BDE_lit,BDE_min,bond_type,oxygen_radical_flag,has_oxygen
-0.03914532846227292,-0.0159753281413475,-0.04060362431348752,-0.016149165143283017,C4H9,387.8768,387.8768,C-H,0,0
-0.03216035062775058,-0.014462877121296458,-0.03222101485239426,-0.014317186027793749,C5H9,394.1328,394.1328,C-H,0,0
-0.1128742638354816,-0.04816141061554413,-0.12354402950629106,-0.04760039283534123,C6H8,321.7,321.7,C-H,0,0
-0.0071225944180546286,-0.0064176501743058445,-0.008134462970268874,-0.006806801911687366,C5H11,413.0,413.0,C-H,0,0
-0.0089981722772694,-0.004087353809153704,-0.008971760371357718,-0.0042096584825501715,C5H12,413.0,413.0,C-H,0,0
-0.0016060210080586224,-0.003748817920747438,-0.0034914033291917335,-0.00372112338305719,C6H12,413.0,413.0,C-H,0,0
-0.023425993879907736,-0.012989750402654376,-0.0238326770797892,-0.013319445787152162,C6H13,399.572,399.572,C-H,0,0
-0.007549781134441602,-0.0036437909415680814,-0.007908371661656588,-0.0036667018416163266,C6H14,413.0,413.0,C-H,0,0
-0.0017186288833057617,0.0001053749497117451,-0.001443111248197404,1.96687472842072e-06,C14H10,422.584,422.584,C-H,0,0
0.009070570034814818,0.004433012362294431,0.003801465018687278,0.0047872205947459,C14H10+,422.584,422.584,C-H,0,0
0.06649291994095874,0.032866376980015044,0.07034761607886564,0.03291239282405778,H2O,497.8968,497.8968,O-H,1,1
0.06563305565787214,0.025961577817460668,0.06665071716631843,0.026400649815156996,H2O+,497.8968,497.8968,O-H,1,1
0.08813213621959815,0.035743230207453625,0.08722835694989373,0.035385579356410624,HCN,518.0,518.0,C-H,0,0
-0.07373523506893909,-0.028020193313908592,-0.07204186313757344,-0.028619755603466857,HCO,360.0,360.0,C-H,1,1
0.14278818851363706,0.07000052757093655,0.14593409717544947,0.06759403022723731,HCO+,587.0208,587.0208,C-H,1,1
-0.3061521692413378,-0.1642306606910986,-0.31915062492583024,-0.16348171397154143,HCS,206.2704,206.2704,C-H,0,0
-0.3085617643101428,-0.14081756277575908,-0.3062031553647273,-0.14078702947589639,HCS+,206.2704,206.2704,C-H,0,0
0.029863741424994483,0.012580840987529651,0.0330483505273107,0.012785896396558805,HNC,459.824,459.824,N-H,0,0
0.07495819409508497,0.029821125168450813,0.087424547179348,0.029903419784220286,HNC+,517.0,517.0,N-H,0,0
-0.06328971502030845,-0.02521854083485131,-0.07153126541993649,-0.025872980756647124,H2CO,363.5888,363.5888,C-H,1,1
0.0026927516426744624,-0.00634043482160962,0.0009016397322154646,-0.006780608251683251,H2CS,413.0,413.0,C-H,0,0
-0.015282482799356956,0.00808964759509001,0.00040968741036007117,0.008247379081394168,H2NC+,434.32,434.32,N-H,0,0
0.06485094382886158,0.025961577817460668,0.06660731359896532,0.026400649815156996,H3O+,497.8968,497.8968,O-H,1,1
0.03165748695191839,0.01133518192021521,0.0344783915423621,0.011599410058389825,HC2N,460.0,460.0,C-H,0,0
-0.019550824313140147,-0.006307687867220579,-0.014450390875328623,-0.0064024008707130875,HC2O,404.5928,404.5928,C-H,0,1
